	RSE	RRSE
118	16.20404	4.0254245
40	3.5692103	1.8892354
265	15.410633	3.925638
564	4.637015	2.153373
69	12.692605	3.5626683
41	5.0919394	2.2565327
980	19.78199	4.447695
744	6.8829546	2.6235385
4612	16.466917	4.057945
1782	18.619463	4.3150277
417	2.1258516	1.4580301
638	17.894094	4.230141
4613	16.368168	4.045759
147	36.46976	6.03902
616	4.420285	2.1024475
651	4.991057	2.2340674
2260	19.093126	4.3695683
856	44.67577	6.6839933
684	3.0558379	1.7480955
362	7.669397	2.7693677
1284	43.88941	6.624908
4614	1.8824655	1.3720297
1142	7.6769786	2.7707362
532	46.77666	6.8393464
4615	21.589062	4.6464033
463	1.7978972	1.3408569
4616	16.124207	4.015496
4617	26.222239	5.120765
305	3.2172358	1.7936654
1108	186.10242	13.641936
1022	23.98534	4.897483
318	48.81802	6.9869895
4618	120.93273	10.996942
1944	50.158325	7.0822544
390	35.093983	5.9240174
2667	30.04298	5.481148
553	36.435944	6.036219
4619	31.214712	5.587013
1497	31.329203	5.5972495
522	16.228022	4.028402
4620	52.050217	7.2145834
2652	12.781417	3.5751107
1008	5.499746	2.3451538
4621	18.87961	4.3450675
1151	61.955482	7.8711805
970	5.8045177	2.4092567
4622	2.9623828	1.7211574
734	2.8834298	1.6980665
4623	2.967917	1.7227644
4624	67.53896	8.218209
1360	26.73952	5.1710267
1871	1.5110093	1.2292312
4625	1.1456681	1.0703589
1325	1.5574178	1.2479655
4435	1.3541341	1.1636727
4626	3.188992	1.785775
1568	3.5917366	1.8951877
4627	0.9999942	0.9999971
