	RSE	RRSE
501	38.96719	6.2423706
503	4.751957	2.1798983
505	17.240793	4.1522036
506	36.48564	6.0403347
507	32.439087	5.6955323
508	9.260908	3.043174
513	175.3853	13.243312
517	4.63486	2.1528726
521	30.956781	5.563882
523	27.307415	5.22565
524	54.477654	7.380898
526	24.548079	4.954602
527	6.6086755	2.5707345
528	28.8995	5.3758254
530	15.165632	3.8943076
533	45.26085	6.727618
536	20.02408	4.4748273
537	22.181587	4.709733
543	5.00548	2.237293
544	24.553465	4.9551454
545	26.690205	5.1662564
549	12.724984	3.5672095
551	20.03737	4.476312
555	12.9489155	3.5984602
556	15.754628	3.96921
558	45.899033	6.7748823
561	36.128334	6.010685
563	28.061583	5.2973185
567	26.57059	5.154667
569	37.66376	6.1370807
572	31.460276	5.608946
577	615.9844	24.819033
579	3.144417	1.7732505
580	39.64698	6.2965846
581	82.63085	9.090152
587	33.69794	5.8049927
588	1.588209	1.2602416
589	20.222584	4.4969525
590	58.11432	7.623275
596	3.8442855	1.9606849
602	42.680786	6.5330534
603	29.83224	5.4618897
605	9.027725	3.0046172
606	17.418459	4.1735425
607	50.50065	7.106381
609	20.856749	4.566919
617	35.576088	5.9645696
618	14.355991	3.7889302
621	18.686897	4.3228345
623	43.71448	6.611693
624	51.73066	7.192403
627	5.2141604	2.2834537
636	50.49216	7.1057835
640	117.3382	10.832276
642	16.62985	4.0779715
644	34.515675	5.8750043
645	16.389334	4.048374
648	24.692719	4.969177
650	15.733645	3.9665658
652	15.415629	3.9262743
654	37.80726	6.148761
655	28.977596	5.3830843
656	40.406727	6.3566284
657	30.441673	5.5173974
658	48.21971	6.9440413
662	41.253056	6.422854
664	38.006104	6.164909
669	151.7934	12.320446
675	166.94527	12.920731
677	31.575615	5.6192183
679	28.049442	5.2961726
682	29.950151	5.472673
687	13.537987	3.6794004
688	95.02156	9.7479
691	17.245504	4.1527705
695	20.823105	4.563234
696	110.33475	10.504035
699	112.36632	10.600298
700	42.533707	6.521787
702	27.47841	5.2419853
703	47.38341	6.883561
706	21.297287	4.614898
707	48.30611	6.9502597
708	72.62266	8.521893
710	36.333344	6.0277147
711	24.802013	4.980162
712	1.8155233	1.3474135
714	232.30162	15.241445
715	38.8097	6.229743
716	25.377659	5.0376244
717	193.13504	13.897304
718	28.115297	5.302386
719	290.43524	17.04216
720	41.041626	6.406374
721	131.33955	11.460347
722	69.812386	8.355381
728	15.611247	3.951107
729	280.86746	16.7591
731	42.21954	6.4976563
735	12.504645	3.5361907
736	53.728497	7.3299723
747	398.74484	19.968596
