	RSE	RRSE
1	1.2214382	1.1051869
13	1.5621381	1.2498553
125	9.062856	3.0104578
8	2.3182986	1.522596
4628	2.227013	1.492318
437	2.7556005	1.6600001
199	3.3174245	1.8213799
179	7.6310186	2.76243
4629	1.9122287	1.3828336
845	4.10734	2.0266573
1119	2.5269265	1.589631
42	2.43131	1.5592659
88	4.563816	2.136309
4630	4.1658864	2.0410504
52	1.4607506	1.2086152
435	1.6406986	1.2808975
358	3.1912725	1.7864133
70	8.132805	2.8518074
148	10.628786	3.260182
769	22.209341	4.712679
93	2.4976318	1.5803897
4631	9.760687	3.12421
693	2.136286	1.4616039
625	3.2662728	1.8072833
612	1.9502872	1.3965268
471	5.01225	2.2388055
608	26.825628	5.179346
482	1.7291038	1.3149539
4632	2.2468934	1.4989641
4633	3.1019669	1.7612401
4634	5.3075275	2.3038073
4635	5.103782	2.2591553
838	1.8808411	1.3714377
224	1.8197383	1.3489767
184	2.121785	1.4566348
484	1.7644901	1.3283411
4636	11.269386	3.3569906
4637	4.256465	2.0631201
4638	1.7521514	1.3236885
282	3.6048567	1.898646
205	6.1250143	2.4748766
739	1.4433074	1.2013773
4639	2.2440617	1.4980192
4640	1.9551144	1.398254
4641	11.053407	3.3246665
767	9.246909	3.040873
227	8.727568	2.9542458
3297	3.250758	1.8029858
231	9.567265	3.0930996
4642	7.3023214	2.7022808
4643	3.1015496	1.7611217
3169	3.332528	1.8255213
4644	1.5951122	1.2629775
504	2.1913793	1.4803308
591	10.584951	3.2534523
3948	6.3017807	2.5103347
4645	9.313793	3.0518508
4646	5.994421	2.4483507
255	4.366722	2.0896704
410	2.7628634	1.6621864
4647	3.1129847	1.7643652
4648	12.768989	3.5733721
4649	10.918801	3.3043609
1074	5.035455	2.243982
279	15.621604	3.9524174
653	2.0092857	1.4174927
4650	3.6387463	1.9075499
4651	2.5560884	1.5987772
4652	2.8298566	1.6822177
4653	1.9766586	1.405937
302	38.848522	6.232858
4654	17.827599	4.2222743
2251	2.916216	1.7076931
4655	15.330771	3.915453
4656	6.7175493	2.5918236
771	7.7655497	2.7866735
4657	10.374765	3.2209883
1865	10.700682	3.2711897
338	30.99697	5.567492
4658	2.4783266	1.5742701
4659	2.0779567	1.441512
352	27.741938	5.2670617
4660	3.792656	1.9474742
4661	2.9547262	1.7189317
4662	3.4012475	1.8442471
4663	3.089805	1.7577841
2164	28.291601	5.318985
4664	3.2210524	1.7947291
4665	5.6201687	2.3706894
4666	10.89561	3.30085
4667	2.8282323	1.6817349
4668	8.784766	2.9639106
383	2.9502025	1.7176154
4669	12.814812	3.5797782
388	4.5457835	2.1320844
4670	1.6880414	1.2992465
4671	23.633802	4.861461
826	3.6757007	1.9172117
2822	23.663782	4.8645434
1589	11.86389	3.4443998
4672	17.62681	4.1984296
1904	2.4463022	1.5640659
4673	13.859707	3.7228627
2129	2.3002627	1.5166616
4674	46.99107	6.8550034
4675	25.945547	5.093677
585	6.4561567	2.540897
1226	26.01609	5.100597
4676	2.7605436	1.6614884
4677	14.290337	3.7802563
1072	9.26491	3.0438313
1229	8.804218	2.9671903
511	2.3150165	1.5215179
805	7.029773	2.651372
488	24.624222	4.96228
2200	46.981	6.8542686
4678	2.9662144	1.7222701
597	4.565924	2.1368024
4679	5.503967	2.3460534
538	21.161488	4.6001616
4680	2.768099	1.6637605
4681	3.257792	1.8049355
4682	4.3850436	2.0940497
2100	25.934269	5.09257
4683	25.923695	5.0915318
576	3.7792475	1.9440287
4684	4.137994	2.034206
3065	15.539923	3.942071
4685	3.9088585	1.9770833
4686	4.2297297	2.0566306
2423	20.643663	4.54353
4687	3.7394514	1.9337661
4688	7.8263235	2.7975566
4689	5.361772	2.31555
4690	4.134377	2.0333169
4691	3.8761451	1.9687928
2020	13.337021	3.6519885
4692	31.45425	5.608409
3680	10.792367	3.285174
4693	7.4345365	2.7266347
4694	21.72207	4.660694
1110	12.746175	3.5701785
661	24.705431	4.9704556
4695	36.622646	6.051665
4696	5.3499293	2.3129914
2515	27.036942	5.199706
4697	4.498254	2.1209087
914	5.8819585	2.4252748
1065	6.3540173	2.5207176
683	15.539923	3.942071
4698	11.117841	3.3343427
3314	3.9234421	1.9807681
4699	9.834459	3.1359942
1024	7.1025734	2.6650653
2732	15.0902405	3.884616
4700	33.8399	5.8172073
1887	8.024224	2.8327062
1680	11.433986	3.3814178
4701	11.805849	3.435964
4702	12.594468	3.5488687
3724	12.685585	3.561683
4703	4.5427127	2.131364
737	9.7512865	3.122705
2110	15.539923	3.942071
