	RSE	RRSE
503	7.171802	2.6780221
505	14.097451	3.7546573
506	10.113113	3.1801121
507	24.02775	4.901811
508	19.382141	4.4025154
513	69.501335	8.336746
517	5.9565187	2.440598
521	22.83375	4.778467
523	37.84599	6.1519094
524	37.49987	6.123714
526	12.95259	3.5989707
527	1.8145604	1.3470562
528	35.072395	5.922195
530	13.193913	3.6323426
533	2.0042803	1.4157261
536	17.928076	4.2341557
537	23.132988	4.8096766
543	5.2776012	2.297303
544	40.30998	6.349014
545	12.5213175	3.5385473
549	5.5785885	2.3619037
551	25.276978	5.0276213
555	17.09761	4.134926
556	10.606257	3.256725
558	46.90374	6.8486304
561	22.561054	4.749848
563	12.970583	3.6014695
567	13.2783375	3.6439452
569	15.908738	3.988576
572	33.733265	5.8080344
577	86.14944	9.2816725
579	2.0322022	1.4255533
580	34.849884	5.903379
581	14.859859	3.8548489
587	42.22413	6.4980097
588	1.6020219	1.26571
589	10.792777	3.2852361
590	24.768587	4.9768047
596	1.3586376	1.1656061
602	72.37411	8.5072975
603	35.90609	5.992169
605	11.332403	3.3663635
606	10.491592	3.2390728
607	11.365474	3.3712718
609	9.340011	3.056143
617	42.11625	6.489703
618	26.902569	5.1867685
621	6.973575	2.6407528
623	22.695488	4.763978
624	49.205147	7.014638
627	3.1186836	1.7659795
636	55.814144	7.470886
640	41.263058	6.4236326
642	6.711974	2.5907478
644	24.120506	4.911263
645	19.934244	4.464778
648	38.70813	6.2215858
650	32.666946	5.7155004
652	18.641153	4.31754
654	58.422173	7.64344
655	43.114265	6.5661454
656	49.672127	7.0478454
657	26.137989	5.1125326
658	15.504839	3.9376185
662	60.91394	7.8047385
664	47.02709	6.85763
669	12.120337	3.4814274
675	6.9827347	2.6424866
677	38.976276	6.2430983
679	41.343388	6.4298825
682	43.053978	6.561553
687	15.945558	3.9931889
688	15.9227915	3.9903374
691	6.549893	2.5592759
695	29.889511	5.46713
696	12.776839	3.5744705
699	14.480482	3.805323
700	57.9301	7.6111827
702	10.572222	3.2514954
703	27.580498	5.2517138
706	22.953028	4.7909317
707	32.76044	5.723674
708	78.50353	8.860222
710	37.328022	6.1096663
711	31.179977	5.5839033
712	1.1699449	1.0816399
714	10.035199	3.1678383
715	10.543734	3.2471116
716	27.874727	5.279652
717	8.420474	2.9018054
718	29.268162	5.4100056
719	29.326664	5.41541
720	9.150094	3.024912
721	18.288637	4.2765217
722	4.404039	2.0985801
728	5.1148067	2.2615938
729	30.784575	5.5483847
731	14.585037	3.8190362
735	17.285742	4.1576123
736	20.55198	4.533429
747	47.619244	6.9006696
