	RSE	RRSE
495	6.6841164	2.5853658
496	9.283192	3.046833
498	17.826323	4.222123
499	14.519024	3.8103838
501	52.798126	7.266232
503	4.8294415	2.197599
505	8.965956	2.9943206
506	11.244446	3.3532739
507	3.1191044	1.7660986
508	5.247431	2.2907271
513	176.13676	13.271652
517	2.6007156	1.6126734
521	5.0408015	2.245173
523	33.037315	5.7478094
524	13.709936	3.702693
526	10.568816	3.2509716
527	1.4741061	1.2141277
528	27.270542	5.2221203
530	10.14762	3.185533
533	1.7271166	1.314198
536	25.093906	5.009382
537	22.89229	4.784589
543	2.6608868	1.6312225
544	25.291979	5.0291133
545	3.3093834	1.8191711
549	6.073772	2.4645023
551	22.399364	4.7327967
555	14.571662	3.8172846
556	6.198146	2.4896076
558	47.53053	6.894239
561	12.7469425	3.570286
563	9.950125	3.1543818
567	12.314871	3.509255
569	13.145197	3.6256306
572	31.64258	5.6251736
577	30.35783	5.509794
579	1.9122338	1.3828354
580	22.607399	4.754724
581	6.8141937	2.6104012
587	26.983746	5.194588
588	1.3714627	1.1710947
589	5.8430824	2.4172468
590	26.462456	5.144167
596	2.1945722	1.4814088
602	55.172016	7.427787
603	40.587814	6.370857
605	13.25324	3.6404998
606	11.420507	3.379424
607	6.633548	2.5755675
609	5.997459	2.448971
617	43.871033	6.6235213
618	11.090724	3.3302739
621	8.220033	2.86706
623	19.442606	4.409377
624	58.13572	7.624678
627	3.1521075	1.7754176
636	59.176052	7.6925974
640	33.176094	5.759869
642	6.2627544	2.5025496
644	24.316664	4.931193
645	20.583033	4.536853
648	28.444542	5.3333426
650	15.540604	3.9421573
652	15.1155	3.8878658
654	18.375914	4.2867136
655	44.278934	6.654242
656	60.131004	7.7544184
657	38.437225	6.199776
658	16.336315	4.041821
662	41.306442	6.4270086
664	60.05788	7.749702
669	21.346998	4.620281
675	10.148996	3.185749
677	32.51431	5.7021317
679	30.35852	5.5098567
682	44.33499	6.6584525
687	14.771457	3.8433652
688	34.20984	5.848918
691	5.5563173	2.3571842
695	24.850842	4.9850616
696	19.213694	4.3833427
699	13.826125	3.7183497
700	53.358925	7.3047194
702	12.934375	3.5964391
703	31.074764	5.5744743
706	26.125637	5.1113243
707	53.73066	7.33012
708	56.900345	7.5432315
710	40.789894	6.386697
711	9.762791	3.1245465
712	1.3688984	1.1699994
714	14.61254	3.8226352
715	28.08113	5.299163
716	17.826752	4.2221737
717	15.548601	3.9431715
718	30.857231	5.554929
719	40.500763	6.364021
720	37.530033	6.126176
721	23.496145	4.8472824
722	1.552128	1.2458442
728	6.267901	2.5035777
729	43.66397	6.607872
731	18.84938	4.3415875
735	17.670086	4.20358
736	27.023401	5.198404
747	49.203762	7.0145392
